aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.0702,-0.1157,0.8220,0.3052,4.8218,0.6714,6.2988,-25.4639,-6.9092
0.0776,-0.0962,0.8901,0.8545,3.9062,1.9531,6.2988,-25.4639,-6.9092
0.0779,-0.0710,0.9172,1.0986,3.2349,3.0518,6.2988,-25.4639,-6.9092
0.0765,-0.0483,0.9363,1.8921,2.8076,3.9062,6.0913,-25.0977,-6.9214
0.0741,-0.0149,0.9532,4.0894,2.3193,4.1504,6.0913,-25.0977,-6.9214
0.0691,0.0049,0.9435,4.2725,2.1362,4.0894,6.0913,-25.0977,-6.9214
0.0665,0.0475,0.9512,2.8076,1.5869,3.8452,6.0913,-25.0977,-6.9214
0.0616,0.0884,0.9792,-0.9766,0.9766,1.4038,5.8105,-25.7446,-6.6040
0.0598,0.0574,1.0287,0.3052,1.0376,-0.4272,5.8105,-25.7446,-6.6040
0.0608,0.0044,1.0192,2.9907,1.2207,-1.7700,5.8105,-25.7446,-6.6040
0.0581,-0.0592,1.0149,4.2725,1.5259,-2.4414,5.8105,-25.7446,-6.6040

0.0898,0.4255,1.3435,-11.5967,9.7046,-3.0518,5.7251,-24.8535,-6.9946
0.0901,0.5160,1.3439,-11.4746,12.8174,-5.7983,5.7251,-24.8535,-6.9946
0.0818,0.5592,1.2856,-9.7656,19.7754,-15.6860,5.6030,-25.0732,-6.4697
0.0699,0.5300,1.0642,-6.2866,21.8506,-20.9351,5.6030,-25.0732,-6.4697
0.0675,0.4680,0.9741,-7.9956,22.6440,-25.8789,5.6030,-25.0732,-6.4697
0.0642,0.4111,0.9028,-15.9302,20.9351,-32.8369,5.6030,-25.0732,-6.4697
0.0457,0.4800,0.8344,-22.8882,19.5313,-36.3159,6.3843,-25.6592,-5.5420
0.0342,0.4795,0.8198,-24.7803,17.9443,-40.4663,6.3843,-25.6592,-5.5420
0.0408,0.4498,0.7957,-24.3530,16.9067,-49.6216,6.3843,-25.6592,-5.5420
0.0482,0.3129,0.5806,-20.1416,14.7095,-53.7720,6.3843,-25.6592,-5.5420
0.0548,0.2430,0.4382,-17.2729,12.0239,-57.0679,6.3843,-25.6592,-5.5420
0.0449,0.2010,0.2655,-16.7847,8.1177,-61.4014,6.5063,-25.6958,-4.9561
0.0840,0.1536,0.0275,-21.6064,-4.6997,-63.9648,6.5063,-25.6958,-4.9561
0.0934,0.0884,-0.0605,-23.5596,-12.7563,-66.4673,6.5063,-25.6958,-4.9561
