aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
-0.1859,-1.0061,1.3855,7.5684,-6.6528,0.2441,1.4648,2.4902,-9.5703
-0.2067,-0.9045,1.3713,8.3008,-1.7090,2.5024,1.4526,2.0386,-8.4717

0.5686,-1.6024,-0.4357,-10.0098,-16.6016,18.7378,32.4707,-20.1294,4.9561
0.5389,-1.7810,-0.4767,-12.2681,-28.6865,33.7524,32.4707,-20.1294,4.9561
0.4832,-1.9445,-0.5178,-21.4844,-53.8330,69.8242,32.4707,-20.1294,4.9561
0.3379,-2.2104,-0.5044,-21.8506,-67.5659,90.8203,32.4707,-20.1294,4.9561
0.2361,-2.2634,-0.4763,-22.4609,-80.8716,113.4033,29.9805,-22.5098,4.7485
0.0999,-2.2542,-0.4209,-19.7144,-105.2246,161.7432,29.9805,-22.5098,4.7485
-0.2214,-1.9978,-0.3234,-20.0806,-116.8823,186.2183,29.9805,-22.5098,4.7485
-0.4196,-1.6237,-0.1329,-18.0664,-128.9673,210.3882,29.9805,-22.5098,4.7485
-0.5796,-1.1788,0.1343,-1.8311,-149.4751,246.7041,29.9805,-22.5098,4.7485
-0.7625,-0.1740,0.8010,12.2070,-156.7993,257.6904,26.1475,-29.2603,2.7222
-0.7699,0.4332,1.3390,29.4800,-161.1938,263.8550,26.1475,-29.2603,2.7222
-0.6921,1.0189,1.9583,42.2974,-151.4282,252.6855,26.1475,-29.2603,2.7222
-0.3723,1.9618,2.8862,47.2412,-135.3149,239.7461,26.1475,-29.2603,2.7222
-0.1864,2.2780,3.1082,35.2173,-113.0371,218.3838,19.8730,-34.7778,-1.5625
0.0103,2.4453,3.1240,22.7661,-86.7310,192.3218,19.8730,-34.7778,-1.5625
0.1479,2.5071,2.9967,10.1929,-35.4004,135.5591,19.8730,-34.7778,-1.5625
0.3430,2.3304,2.4489,6.3477,-13.9771,108.0933,19.8730,-34.7778,-1.5625
0.3947,2.1407,2.1517,6.5308,2.2583,83.1299,19.8730,-34.7778,-1.5625
0.4380,2.0150,1.9009,9.7046,14.5264,46.0815,17.4072,-35.8643,-2.9419
0.4849,1.8354,1.4094,17.5781,30.9448,25.4517,17.4072,-35.8643,-2.9419
0.5027,1.6714,1.1719,17.8833,35.4004,8.4229,17.4072,-35.8643,-2.9419
0.5001,1.4945,0.9812,15.6860,37.2314,-18.7988,17.4072,-35.8643,-2.9419
0.5050,1.1144,0.7423,10.9253,35.0342,-29.7852,18.4570,-34.8511,-1.7700
0.5316,0.8604,0.7343,9.7046,32.5928,-38.5742,18.4570,-34.8511,-1.7700
0.4727,0.7129,0.7474,6.3477,29.9683,-44.6777,18.4570,-34.8511,-1.7700
0.5028,0.5885,0.6323,7.7515,25.2075,-48.5229,18.4570,-34.8511,-1.7700
0.4935,0.4100,0.7797,3.7842,23.2544,-48.9502,18.4570,-34.8511,-1.7700
0.5150,0.4575,0.7338,3.4180,22.5830,-48.3398,19.7632,-34.0454,-2.0996
0.5140,0.5094,0.7799,1.0986,22.1558,-49.5605,19.7632,-34.0454,-2.0996
0.4974,0.7072,0.7931,-2.6855,22.7051,-51.9409,19.7632,-34.0454,-2.0996
0.5018,0.7769,0.7532,-2.2583,23.2544,-56.1523,19.7632,-34.0454,-2.0996
0.5034,0.8455,0.7089,-3.5400,23.7427,-61.8896,21.4111,-32.5562,-0.0732
0.4929,0.9897,0.7087,-2.1973,22.5220,-76.1108,21.4111,-32.5562,-0.0732
0.4751,1.2032,0.7026,1.6479,22.4609,-86.9141,21.4111,-32.5562,-0.0732
0.4406,1.2714,0.6222,3.3569,23.0713,-98.9990,21.4111,-32.5562,-0.0732
0.4006,1.3049,0.5170,6.8359,22.5220,-127.2583,21.4111,-32.5562,-0.0732
0.3696,1.2560,0.4257,14.7095,19.0430,-139.4043,23.7793,-29.7485,0.1343
0.2257,1.0703,0.1614,11.9019,15.3198,-153.0151,23.7793,-29.7485,0.1343
